dr.,dr[dot],# en,Set,f6bf1374-33d7-4912-a43b-3a5f0d9317fd
Dr.,Dr[dot],# en,Set,f6bf1374-33d7-4912-a43b-3a5f0d9317fd
a.m.,a[dot]m[dot],# en,Single,c89024c8-bb8e-4af4-a1c2-16e9f04aa3e9
p.m.,p[dot]m[dot],# en,Single,bcd7838c-c886-4631-a410-9f98e8d39a64
A.M.,A[dot]M[dot],# en,Single,c2ef04b9-7df6-41c0-9338-672af4fc147c
P.M.,P[dot]M[dot],# en,Single,36097756-7c9f-4a4a-a6b8-a9ad27092c20
etc.,etc[dot],# et cetra,Single,1da2a757-7d31-4867-ba16-e503d6338ce6
i.e.,i[dot]e[dot],# that is,Single,0d6b450b-24f8-43a8-88ef-a4244839ba49
e.g.,e[dot]g[dot],# for example,Single,5675c8e8-b338-4c38-8a89-67b63d4e542a
st.,st[dot],# en,Set,6f69cc93-5e10-43e1-a57a-7b7904a17785
St.,St[dot],# en,Set,6f69cc93-5e10-43e1-a57a-7b7904a17785
mr.,mr[dot],# en,Set,e83e2896-64c7-4bc6-a082-a2d1949e8b37
Mr.,Mr[dot],# en,Set,e83e2896-64c7-4bc6-a082-a2d1949e8b37
mrs.,mrs[dot],# en,Set,caa7e0f6-4d9b-465c-8819-c52de869d302
Mrs.,Mrs[dot],# en,Set,caa7e0f6-4d9b-465c-8819-c52de869d302
ms.,ms[dot],# en,Set,63bc222b-bdce-4ad0-8f10-6ac4b5ab51fc
Ms.,Ms[dot],# en,Set,63bc222b-bdce-4ad0-8f10-6ac4b5ab51fc
sr.,sr[dot],# spanish,Set,251712b8-f297-4fbb-9f3d-5b5b2878b128
Sr.,Sr[dot],# spanish,Set,251712b8-f297-4fbb-9f3d-5b5b2878b128
sra.,sra[dot],# spanish,Set,51e895cd-16a7-4fa8-85af-3f55dd5624ce
Sra.,Sra[dot],# spanish,Set,51e895cd-16a7-4fa8-85af-3f55dd5624ce
srs.,srs[dot],# spanish,Set,d9d0f7dc-8948-4133-9764-d24bcf58bfe3
Srs.,Srs[dot],# spanish,Set,d9d0f7dc-8948-4133-9764-d24bcf58bfe3
rev.,rev[dot],# en,Set,f7c5f7f8-ee38-4601-95ac-fd1ee01e8c4c
Rev.,Rev[dot],# en,Set,f7c5f7f8-ee38-4601-95ac-fd1ee01e8c4c
prof.,prof[dot],# en,Set,a8e1a9cb-ff2e-485d-b92d-e040fe679e93
Prof.,Prof[dot],# en,Set,a8e1a9cb-ff2e-485d-b92d-e040fe679e93
vol.,vol[dot],# en,Set,db6a358b-fbd2-471b-9ff0-0c389d9da1f0
Vol.,Vol[dot],# en,Set,db6a358b-fbd2-471b-9ff0-0c389d9da1f0
no.,no[dot],# en,Set,6abf7564-96a6-4b9f-ba47-f1a4f256917b
No.,No[dot],# en,Set,6abf7564-96a6-4b9f-ba47-f1a4f256917b
inc.,inc[dot],# en,Set,1f56b4a2-7233-4d3a-9b91-aa1dc6c34e47
Inc.,Inc[dot],# en,Set,1f56b4a2-7233-4d3a-9b91-aa1dc6c34e47
ed.,ed[dot],# en,Set,b15b7ef7-000d-4b72-83a0-16b35e5b5c76
Ed.,Ed[dot],# en,Set,b15b7ef7-000d-4b72-83a0-16b35e5b5c76
ltd.,ltd[dot],# en,Set,55e95cb4-6ffb-4162-a4e4-ecaab278ee3b
Ltd.,Ltd[dot],# en,Set,55e95cb4-6ffb-4162-a4e4-ecaab278ee3b
co.,co[dot],# en,Set,1cd4164a-9dd0-4c38-b070-ec055e8c998c
Co.,Co[dot],# en,Set,1cd4164a-9dd0-4c38-b070-ec055e8c998c
misc.,misc[dot],# en,Set,ba0fd1b7-dffc-4f9f-8232-ce324259ec81
Misc.,Misc[dot],# en,Set,ba0fd1b7-dffc-4f9f-8232-ce324259ec81
corp.,corp[dot],# en,Set,aaed1a72-7f33-4c72-b66e-76d5c3fbf47e
Corp.,Corp[dot],# en,Set,aaed1a72-7f33-4c72-b66e-76d5c3fbf47e
U.S.,U[dot]S[dot],# en,Single,f69213c7-7b93-477d-86c6-99da4a85d29f
